anchor_text,positive_text,negative_text,similarity_score
Entities shall disclose vaccination rates and pandemic related measures,We report 100 percent workforce fully vaccinated and remote work enabled health measures,Infosys launched carbon neutral event series,0.89
Entities shall disclose employee diversity and inclusion policies,Diversity Equity and Inclusion policy covers gender disability LGBTQIA+ and multicultural hiring,Infosys Wingspan enterprise learning,0.88
Entities shall disclose targets for diversity and inclusion,Target 45 percent women representation by 2030 tracked through talent dashboard,Infosys MatchBeats fan engagement analytics,0.9
Entities shall disclose measures for prevention of sexual harassment,Zero tolerance policy and Internal Complaints Committee active at all development centers,Infosys Pathfinders Online Institute for students,0.93
Entities shall disclose number of complaints filed under sexual harassment act,Five cases filed and resolved during the year with no pending cases,Infosys launched ESG Radar survey,0.88
Entities shall disclose details of complaints filed regarding child labor forced labor or discriminatory employment practices,No complaints reported regarding child or forced labor adherence to Code of Conduct confirmed,Infosys Topaz AI generative accelerator,0.9
Entities shall disclose whether audits for labor practices have been conducted,Labor practice audits conducted for suppliers and internal compliance verified,Infosys developed Value Chain Navigator tool,0.85
Entities shall disclose average age of employees,Average employee age 33 years reported in ESG Databook,Infosys MatchBeats application at sports tournaments,0.82
Entities shall disclose percentage of local hires at significant locations,We have 91 percent local hires across global offices,Infosys Topaz business value accelerator,0.84
Entities shall disclose programs for skill enhancement of local community,Infosys Springboard platform offers free digital skilling to students and educators,Infosys digital transformation offering,0.92
Entities shall disclose initiatives to promote employee volunteering,Employees contributed 1.6 million hours through volunteering programs,Infosys launched metaverse foundry,0.89
Entities shall disclose community development initiatives,Infosys Foundation supported healthcare education and rural development programs,Infosys MatchBeats tennis analytics,0.86
Entities shall disclose expenditure on CSR activities,CSR expenditure 4.3 billion rupees representing 2 percent of average profits,Infosys Smart Spaces deployment,0.88
Entities shall disclose monitoring mechanisms for CSR projects,CSR projects monitored through digital platform and independent audits,Infosys Topaz AI enabled solutions,0.87
Entities shall disclose CSR impact assessment reports,Impact assessment conducted for projects exceeding threshold disclosed on website,Infosys MatchBeats real time engagement tool,0.85
Entities shall disclose partnerships with NGOs and implementation agencies,Partnerships with over 150 NGOs to deliver education and health programs,Infosys Wingspan learning solution,0.86
Entities shall disclose beneficiaries of CSR projects,Over 11 million beneficiaries reached through education and skilling initiatives,Infosys Cloud data modernization projects,0.87
Entities shall disclose initiatives for environmental awareness among communities,Awareness drives on tree plantation water conservation and waste management conducted,Infosys Topaz AI engine release,0.82
Entities shall disclose grievance redressal mechanism for communities,Infosys Foundation portal enables community grievances and feedback collection,Infosys MatchBeats analytics launch,0.8
Entities shall disclose employee turnover by age group gender and region,Turnover rates by gender and region provided with analysis in Databook,Infosys Metaverse Foundry immersive tech offering,0.86
Entities shall disclose employee absenteeism rates,Absenteeism rate below 2 percent tracked through HR dashboards,Infosys Value Chain Navigator scenario module,0.84
Entities shall disclose average salary ratio of men to women by employee category,Gender pay equity ratio 1.01 across comparable roles,Infosys Pathfinders learning resources,0.88
Entities shall disclose maternity and paternity benefits,Parental leave programs detailed including 26 weeks maternity and 2 weeks paternity leave,Infosys ESG Radar findings release,0.91
Entities shall disclose return to work and retention after parental leave,99 percent return rate and 68 percent retention after 12 months reported,Infosys Smart Spaces automation initiative,0.9
Entities shall disclose availability of daycare facilities,On-campus childcare centers and daycare reimbursement policy available for employees,Infosys Topaz AI product suite,0.87
Entities shall disclose average hours of training per employee by gender and category,Average 39 training hours per employee disclosed in ESG Databook,Infosys MatchBeats tennis analytics platform,0.88
Entities shall disclose total investment in employee training and development,Investment of INR 660 crore in learning and development reported,Infosys Smart Spaces digital twin offering,0.89
Entities shall disclose leadership development programs,Leadership development through Inspire LEAD and Infosys Leadership Institute described,Infosys Metaverse Foundry engagement tools,0.9
Entities shall disclose initiatives for upskilling reskilling employees,5.5 million training days with AI-led learning through Lex platform,Infosys Pathfinders Online Institute curriculum,0.92
Entities shall disclose initiatives for employee recognition and rewards,Global REWARD program recognizes high performers quarterly,Infosys Wingspan enterprise learning,0.86
Entities shall disclose mentoring and coaching programs,Infosys Coaching Culture framework and formal mentoring program detailed,Infosys Topaz applied AI solutions,0.88
Entities shall disclose initiatives to promote work life balance,Flexible work arrangements and employee assistance program detailed,Infosys MatchBeats fan analytics,0.84
Entities shall disclose employee assistance programs,EAP counselling services cover mental wellbeing for employees and families,Infosys Smart Spaces automation projects,0.89
Entities shall disclose employee engagement programs,Annual Pulse survey and open house sessions for employee feedback described,Infosys Value Chain Navigator simulation,0.86
Entities shall disclose initiatives for women empowerment,Women in Management and IAmTheFuture programs support leadership pipeline,Infosys Topaz AI launch announcement,0.9
Entities shall disclose initiatives for hiring persons with disabilities,Programs with Australian Network on Disability and accessible recruitment drive reported,Infosys MatchBeats sports technology use,0.88
Entities shall disclose initiatives for LGBTQIA+ inclusion,Pride ERGs and inclusive policy statements detailed in DEI section,Infosys Metaverse Foundry innovation center,0.86
Entities shall disclose training on diversity equity inclusion,All employees trained on unconscious bias and inclusive leadership,Infosys Pathfinders teacher enablement program,0.87
Entities shall disclose internal communication on company policies,Policies communicated through InfoConnect intranet and leadership talks,Infosys Springboard student portal,0.84
Entities shall disclose grievance redressal mechanisms for workplace discrimination,Zero tolerance policy and dedicated channels for reporting bias,Infosys Topaz AI for finance clients,0.88
Entities shall disclose health and safety committee composition and representation,Joint committee with employee representation exists at each campus,Infosys MatchBeats fan insight solution,0.86
Entities shall disclose mental health initiatives,Mental health awareness sessions and wellbeing champions network implemented,Infosys Smart Spaces IoT framework,0.89
Entities shall disclose initiatives for prevention of substance abuse,Drug-free workplace policy and employee counselling described,Infosys Cloud modernization case study,0.85
Entities shall disclose policies for prevention of child labor and forced labor,Code of Conduct and supplier requirements prohibit child and forced labor,Infosys Wingspan client training programs,0.9
,,,
Entities shall disclose percentage of new suppliers screened using social criteria,100 percent new suppliers screened on social criteria and Code of Conduct compliance,Infosys Topaz AI data hub announcement,0.87
Entities shall disclose mechanisms to assess human rights impacts,Annual human rights risk assessment conducted for operations and supply chain,Infosys MatchBeats broadcast integration,0.89
Entities shall disclose number of human rights grievances reported and resolved,No substantiated human rights grievances in FY23 reported through channels,Infosys Smart Spaces building automation,0.86
Entities shall disclose initiatives to promote human rights awareness,Human rights training included in mandatory Code of Conduct course for all employees,Infosys Topaz AI press release,0.87
Entities shall disclose community grievance mechanism availability,Infosys Foundation portal for grievances accessible to communities nationwide,Infosys Value Chain Navigator demo,0.85
Entities shall disclose mechanisms for resettlement and rehabilitation where applicable,No resettlement projects undertaken in FY23 reported as not applicable,Infosys Metaverse Foundry case example,0.66
Entities shall disclose policies for freedom of association and collective bargaining,Policy respects employees right to associate and bargain collectively where applicable,Infosys MatchBeats sports insight series,0.8
Entities shall disclose number of seasonal workers and contract labor employed,Contract and temporary workforce numbers reported for service operations,Infosys Pathfinders learning modules,0.76
Entities shall disclose percentage of employees under collective bargaining agreements,Not applicable for IT sector clarified in disclosures,Infosys Springboard educator training,0.7
Entities shall disclose compensation ratios of CEO to median employee,CEO to median employee pay ratio of 202:1 disclosed in Integrated Annual Report,Infosys Topaz AI client case study,0.85
Entities shall disclose internal complaint handling time and resolution rates,All complaints resolved within 90 days average closure time reported,Infosys Smart Spaces occupancy solution,0.84
Entities shall disclose minimum wages paid compared to legal minimum wage,We confirm all employees and contractors receive compensation above legal minimum wages,Infosys MatchBeats sports analytics,0.88
Entities shall disclose wage ratio of highest paid employee to median employee,CEO to median employee pay ratio of 202 to 1 reported in annual report,Infosys Smart Spaces IoT framework,0.85
Entities shall disclose gender pay gap analysis results,Gender pay ratio 1.01 maintained across comparable roles and pay equity audit completed,Infosys Metaverse Foundry showcase,0.89
Entities shall disclose living wage policy or statement,We ensure fair and equitable pay aligned with local regulations and living wage principles,Infosys Topaz AI launch for retail,0.83
Entities shall disclose programs for financial literacy among employees,Financial wellbeing programs cover savings insurance and retirement planning,Infosys Pathfinders Online Institute,0.82
Entities shall disclose measures to prevent discrimination in compensation,Compensation decisions guided by equal opportunity and anti discrimination policy,Infosys Springboard learning portal,0.86
Entities shall disclose measures for reintegration of returning employees,Reintegration program for employees returning from career breaks detailed in talent framework,Infosys Topaz AI data insights module,0.78
Entities shall disclose initiatives for supporting employees during crises,Emergency assistance fund and mental health counselling available during pandemic and personal crises,Infosys MatchBeats event analytics,0.86
Entities shall disclose initiatives for financial support to employees in distress,Interest free loans and grants extended through Infosys Foundation Employee Relief Fund,Infosys Smart Spaces automation,0.84
Entities shall disclose community investment policy,Community investments guided by Infosys Foundation charter and Board oversight,Infosys Topaz AI accelerator,0.86
Entities shall disclose strategic social partnerships,Partnerships with UNICEF Nasscom and universities to promote digital skilling and inclusion,Infosys MatchBeats sports engagement,0.87
Entities shall disclose disaster response initiatives,Infosys Foundation contributed to disaster relief and rehabilitation in multiple states,Infosys Cloud modernization service,0.88
Entities shall disclose employee retention rate,Retention rate above 91 percent for FY23 reported in Talent Pulse,Infosys Topaz AI marketing material,0.85
Entities shall disclose attrition rate and reasons,Attrition rate 20.9 percent due to market movement and voluntary exits described,Infosys Springboard educator enablement,0.83
Entities shall disclose voluntary and involuntary separation counts,Separation counts by category included in ESG Databook with methodology note,Infosys Pathfinders learning challenges,0.8
Entities shall disclose number of retrenchments or layoffs if any,No layoffs or retrenchments during FY23 reported as not applicable,Infosys MatchBeats tennis fan metrics,0.7
Entities shall disclose workforce localization programs,91 percent local hires across geographies and local leadership development initiatives,Infosys Metaverse Foundry pilot projects,0.86
,,,
,,,
Entities shall disclose succession planning framework,Leadership succession process reviewed annually by the Board and HR Committee,Infosys MatchBeats broadcast innovation,0.84
Entities shall disclose proportion of senior management hired from local community,62 percent senior leadership from local regions reported,Infosys Topaz AI accelerator toolkit,0.83
Entities shall disclose percentage of women in senior management,30 percent women in senior leadership positions as of FY23,Infosys Springboard inclusion training,0.89
Entities shall disclose retention rate for women employees,Retention rate for women 92 percent reported in diversity section,Infosys Pathfinders learning course catalog,0.86
Entities shall disclose parental leave utilization by gender,6713 men and 6976 women availed parental leave in FY23,Infosys Value Chain Navigator model,0.9
Entities shall disclose retention rate after parental leave by gender,99 percent return and 68 percent retention at 12 months disclosed,Infosys MatchBeats live sports insights,0.91
Entities shall disclose promotion rate by gender,Promotion rate 31 percent men and 29 percent women reported in Talent Databook,Infosys Metaverse Foundry demos,0.87
Entities shall disclose initiatives for inclusive recruitment practices,Bias free hiring process and diverse candidate slates implemented globally,Infosys Topaz AI platform introduction,0.88
Entities shall disclose workforce engagement digital platforms,People Dashboard Pulse survey and HR analytics platform described,Infosys Smart Spaces data solution,0.85
Entities shall disclose internal mobility programs,Career mobility enabled through internal job postings and Talent Marketplace,Infosys MatchBeats AI fan platform,0.84
Entities shall disclose ratio of employee average pay to national average wage,Average pay 2.4 times national average for IT industry roles reported,Infosys Pathfinders Online Institute,0.8
