anchor_text,positive_text,negative_text,similarity_score
Entities shall disclose emissions intensity per rupee of turnover,Emissions intensity reduced 65 percent since FY2020 baseline reported,Infosys research collaboration,0.9
Entities shall disclose total emissions avoided due to renewable energy initiatives,Renewable programs avoided 140000 tonnes CO2e in FY23,Infosys teacher development initiative,0.91
Entities shall disclose initiatives to protect biodiversity within operational boundaries,Infosys campuses include biodiversity gardens and native species plantations,Infosys diversity hiring programs,0.86
Entities shall disclose number of sites located in or near biodiversity sensitive areas,No Infosys campuses located in protected or biodiversity sensitive zones,Infosys upskilling academies,0.85
Entities shall disclose list of major species protected or conserved,Infosys maintains native flora gardens and butterfly parks within campuses,Infosys employee recognition programs,0.82
Entities shall disclose whether environmental impact assessments are conducted before new projects,EIA conducted for large campuses and verified by local authorities,Infosys volunteer awards,0.84
Entities shall disclose tree plantation and green belt development,Infosys planted over 3 million trees and developed extensive green zones,Infosys mentoring events,0.91
Entities shall disclose environmental permits and clearances held,All campuses operate under valid environmental consents from SPCBs,Infosys digital education partnerships,0.83
Entities shall disclose number of environmental legal actions or penalties,No penalties or non compliance cases recorded FY23,Infosys inclusion roundtables,0.8
Entities shall disclose initiatives to promote sustainable commuting,Electric vehicle fleet and bus pooling adopted across campuses,Infosys springboard learning portal,0.89
Entities shall disclose percentage of employees using public or shared transport,68 percent employees use shared or electric transportation options,Infosys Topaz AI product update,0.86
Entities shall disclose scope 3 travel emissions,Travel related emissions disclosed and reduced by 23 percent year on year,Infosys arts collaboration,0.87
Entities shall disclose total paper consumption,Paper usage reduced 70 percent due to digitalization programs,Infosys women leadership mentorship,0.88
Entities shall disclose amount of paper recycled,98 percent of waste paper recycled internally or through authorized recyclers,Infosys Metaverse Foundry demo,0.9
Entities shall disclose initiatives for reduction in paper use,Paperless initiatives and e approvals reduce print volume drastically,Infosys youth coding bootcamp,0.91
Entities shall disclose sustainable procurement policy,Supplier Code of Conduct mandates ESG criteria for procurement,Infosys employee appreciation events,0.87
Entities shall disclose percentage of suppliers assessed for environmental criteria,Top 500 suppliers assessed for ESG compliance annually,Infosys AI training cohort,0.86
Entities shall disclose initiatives for supplier environmental capacity building,Workshops and audits conducted for suppliers on carbon footprint measurement,Infosys employee upskilling programs,0.88
Entities shall disclose percentage of procurement from local suppliers,Over 84 percent procurement from local suppliers reported,Infosys diversity network meeting,0.85
Entities shall disclose amount spent on environmental protection activities,INR 1.3 billion invested in renewable energy and green campus projects,Infosys Topaz AI showcase,0.89
Entities shall disclose amount invested in energy saving equipment,Smart metering and LED retrofitting investment worth INR 350 million disclosed,Infosys community healthcare partnerships,0.87
Entities shall disclose renewable energy investments,Invested in 60 MW of solar power capacity onsite and offsite,Infosys graduate hiring initiatives,0.88
Entities shall disclose total environmental expenditure,Total environmental expenditure 2.1 billion rupees in FY23,Infosys student hackathons,0.86
Entities shall disclose any environmental restoration projects undertaken,Wetland restoration and rainwater recharge projects undertaken at Mysuru campus,Infosys mentoring program,0.84
Entities shall disclose details of carbon sequestration activities,Carbon sinks developed via tree plantations and soil conservation projects,Infosys coding challenges,0.87
Entities shall disclose targets to achieve net zero emissions,Target net zero emissions by 2040 and carbon neutrality maintained since 2020,Infosys digital upskilling programs,0.94
Entities shall disclose strategy and roadmap for achieving net zero,Transition plan includes renewable energy procurement carbon offsetting and efficiency measures,Infosys inclusion initiatives,0.92
Entities shall disclose external verification of net zero claims,Net zero verified by DNV as per PAS 2060 certification,Infosys volunteer recognition program,0.9
Entities shall disclose internal carbon pricing mechanism,Internal carbon price of USD 10 per tonne applied to business travel,Infosys Pathfinders learning modules,0.83
Entities shall disclose initiatives for employee awareness on environmental sustainability,Environmental sustainability week and eco champion campaigns conducted,Infosys Topaz AI launch,0.87
Entities shall disclose environmental training programs,All employees undergo mandatory annual environmental awareness training,Infosys youth employability program,0.88
Entities shall disclose climate change policy or statement,Climate Change Policy published outlining mitigation and adaptation approaches,Infosys diversity event,0.89
Entities shall disclose governance structure for environmental management,Board ESG Committee oversees environment performance reporting,Infosys mentoring network,0.9
Entities shall disclose environmental targets and performance achieved,Targets achieved include 55 percent renewable energy 96 percent waste recycling,Infosys Smart Spaces project,0.92
Entities shall disclose key environmental KPIs and monitoring mechanisms,KPIs include energy intensity emission intensity water reuse monitored quarterly,Infosys alumni platform,0.87
Entities shall disclose resource efficiency initiatives,Automation and analytics applied for energy water and waste optimization,Infosys Topaz AI program,0.88
Entities shall disclose major environmental certifications obtained,All major campuses ISO 14001 certified for environmental management systems,Infosys youth hackathons,0.89
Entities shall disclose integration of environmental aspects into product and service design,Design Thinking incorporates circular economy and energy efficiency for client solutions,Infosys volunteer campaign,0.88
Entities shall disclose initiatives to promote green infrastructure,Infosys Green Building portfolio covers 21 million sq ft LEED Platinum certified space,Infosys training bootcamp,0.93
Entities shall disclose percentage of buildings certified green,100 percent new buildings LEED Platinum certified,Infosys community engagement series,0.95
Entities shall disclose use of sustainable construction materials,Infosys uses fly ash blocks recycled aggregates and low VOC paints for construction,Infosys coaching sessions,0.87
Entities shall disclose total green building area constructed,Green building area 21 million sq ft reported in ESG Databook,Infosys learning fairs,0.9
Entities shall disclose measures for reducing embodied carbon in construction,Life Cycle Assessment applied for design and low carbon material selection,Infosys digital classroom initiative,0.88
Entities shall disclose initiatives for resource circularity,Infosys implements paperless operations e waste recycling and water reuse,Infosys Pathfinders student modules,0.89
Entities shall disclose environmental innovation projects,Infosys green campus innovations include smart grids and solar thermal systems,Infosys leadership development program,0.87
Entities shall disclose partnership for sustainability research,Collaborations with IITs and universities for sustainability R&D,Infosys talent recruitment drives,0.85
Entities shall disclose climate adaptation measures,Adaptation includes rainwater harvesting drought tolerant landscaping and flood proof design,Infosys mentoring day events,0.86
Entities shall disclose investment in climate resilience,Resilience measures include cooling infrastructure upgrades and emergency preparedness,Infosys inclusion initiatives,0.84
Entities shall disclose renewable energy roadmap,Plan to achieve 100 percent renewable electricity by 2025 shared in ESG Databook,Infosys coding camp initiative,0.92
Entities shall disclose carbon sequestration targets,Tree plantation and offset programs target 150000 tonnes CO2e removal by 2025,Infosys graduate orientation week,0.87
Entities shall disclose emission reduction roadmap,Scope 1 2 3 reduction roadmap published aligned with SBTi targets,Infosys Smart Spaces release,0.93
Entities shall disclose avoided emissions through client solutions,Infosys digital solutions enabled client emission reductions 2.2 million tonnes CO2e,Infosys social volunteering programs,0.88
Entities shall disclose environmental awareness programs for communities,Community programs conducted for tree plantation and waste segregation awareness,Infosys metaverse demo,0.86
Entities shall disclose engagement with suppliers for GHG reduction,Suppliers trained on emission reporting and efficiency improvement programs,Infosys training webinars,0.87
Entities shall disclose climate risk scenario analysis,TCFD aligned scenario analysis covering transition and physical risks published,Infosys university hackathons,0.9
Entities shall disclose climate related financial disclosures,Integrated Annual Report includes climate related disclosures as per TCFD,Infosys inclusion roundtable,0.91
Entities shall disclose carbon neutrality status,Carbon neutral across global operations since 2020 verified annually,Infosys wellness retreat,0.96
Entities shall disclose GHG reduction achievements,Achieved 55 percent renewable energy 33 percent emission reduction since base year,Infosys student volunteering network,0.9
Entities shall disclose key environmental challenges faced,Challenges include renewable energy supply constraints and Scope 3 supplier data gaps,Infosys mentorship connect event,0.83
Entities shall disclose initiatives for water positivity,Infosys targets 110 percent water positivity by 2030 with recharge projects,Infosys research summit,0.92
Entities shall disclose water recharge and restoration efforts,Water recharge structures increased capacity by 480 million liters,Infosys sustainability podcast,0.89
Entities shall disclose waste diversion from landfill,Over 96 percent waste diverted from landfill through recycling reuse and composting,Infosys employee awards,0.91
Entities shall disclose zero waste to landfill targets,Target 100 percent zero waste to landfill by 2030,Infosys Topaz AI media announcement,0.88
Entities shall disclose biodiversity conservation policy,Biodiversity Policy guides conservation tree cover expansion and native flora restoration,Infosys training sessions,0.87
Entities shall disclose air emission reduction targets,Goal to reduce NOx and SOx emissions by 50 percent through equipment upgrades,Infosys hiring fair,0.85
Entities shall disclose environmental grievance redressal mechanism,Environmental grievances managed via ESG Helpdesk and internal portal,Infosys inclusion training,0.84
Entities shall disclose carbon accounting methodology,GHG accounting follows ISO 14064 1 and GHG Protocol Corporate Standard,Infosys leadership event,0.89
Entities shall disclose updates to sustainability strategy,Updated ESG Vision 2030 strategy to include enhanced environmental KPIs,Infosys social volunteering initiative,0.88
Entities shall disclose alignment with national or global environmental goals,Strategy aligns with UN SDGs 6 7 13 15 and India NDC commitments,Infosys Smart Spaces platform,0.91
Entities shall disclose adoption of environmental management systems,All campuses certified to ISO 14001 and integrated EMS across operations,Infosys leadership mentoring session,0.91
Entities shall disclose regular audits of environmental management systems,Internal and third party EMS audits conducted annually by DNV,Infosys community hackathons,0.9
Entities shall disclose frequency of environmental policy review,Environmental policy reviewed every two years by ESG Committee,Infosys graduate welcome program,0.86
Entities shall disclose linkages of environmental policy with national standards,Environmental policy aligned with ISO and Indian CPCB requirements,Infosys social innovation challenge,0.84
Entities shall disclose sustainability governance roles and responsibilities,ESG Committee and senior management accountable for sustainability KPIs,Infosys metaverse demo event,0.88
Entities shall disclose major environmental risks identified,Climate risk water scarcity and waste management identified as key risks,Infosys coaching day event,0.86
Entities shall disclose mitigation measures for identified risks,Mitigation through renewable energy adoption and sustainable operations,Infosys career fair,0.89
Entities shall disclose opportunities related to environmental management,Opportunities include cost savings from efficiency and green reputation gains,Infosys coding bootcamp,0.87
Entities shall disclose key environmental objectives for next reporting period,Goals include 100 percent renewable power and water positivity by 2030,Infosys training drive,0.9
Entities shall disclose performance trends over last three years,Three year performance trend shows steady decline in energy and emission intensity,Infosys inclusion panel,0.88
Entities shall disclose changes in data measurement methodologies,Emission factors and boundaries updated to align with GHG Protocol 2021,Infosys volunteer week,0.85
Entities shall disclose independent assurance providers for environmental data,Environmental data assured by DNV under limited assurance,Infosys mentoring circle,0.9
Entities shall disclose frequency of data assurance,Assurance conducted annually along with ESG report publication,Infosys alumni day,0.84
Entities shall disclose any restatement of previous data,Restatements explained due to change in emission factors or operational boundary,Infosys recruitment drive,0.82
Entities shall disclose corrective actions from assurance findings,Actions include automation of data capture and improved accuracy checks,Infosys coding tournament,0.87
Entities shall disclose use of digital tools for sustainability reporting,Sustainability data captured via Infosys ESG data platform and dashboards,Infosys art exhibition,0.88
Entities shall disclose use of IoT or AI for energy monitoring,IoT based real time monitoring implemented across data centers and offices,Infosys teacher fellowship program,0.91
Entities shall disclose use of analytics for carbon accounting,AI analytics applied to automate emission calculations and forecasting,Infosys inclusion townhall,0.9
Entities shall disclose future environmental priorities,Future priorities include circularity biodiversity expansion and supplier decarbonization,Infosys learning week,0.89
Entities shall disclose alignment with national carbon market mechanisms,Preparedness for participation in India’s voluntary carbon market stated,Infosys coding day event,0.83
Entities shall disclose research or innovation projects on sustainability,Collaborations with universities on AI for emissions and green IT projects,Infosys career mentoring talk,0.87
Entities shall disclose initiatives to promote environmental awareness externally,Awareness campaigns conducted in schools and communities via Foundation,Infosys diversity meetup,0.85
Entities shall disclose number of environmental campaigns conducted,Over 200 eco awareness campaigns conducted in FY23,Infosys graduate orientation,0.88
Entities shall disclose environmental performance awards or recognitions,Received LEED and CII GreenPro awards for sustainability excellence,Infosys social media outreach,0.92
Entities shall disclose sustainability related collaborations with government or industry bodies,Member of CII Green Building Council and NASSCOM Sustainability Forum,Infosys employee newsletter,0.87
Entities shall disclose public communication on environmental issues,Annual ESG Report and microsite provide transparent environmental data,Infosys student conference,0.88
Entities shall disclose participation in global environmental initiatives,Signatory to UN Global Compact and Carbon Disclosure Project since 2008,Infosys innovation day,0.91
Entities shall disclose disclosures made to CDP and SBTi,CDP score A minus and SBTi approved near term targets disclosed,Infosys Springboard platform,0.93
Entities shall disclose contribution to national and global environmental goals,Contributions aligned with SDG 6 7 9 12 13 15 reported in ESG Data Book,Infosys learning portal event,0.92
Entities shall disclose periodic updates to stakeholders on environmental progress,Quarterly ESG dashboard shared with stakeholders and investors,Infosys cultural week,0.9
Entities shall disclose future investment commitments in sustainability,Commitment to invest INR 3.5 billion in renewable and green campus projects,Infosys foundation awards,0.89
