anchor_text,positive_text,negative_text,similarity_score
Entities should disclose any contextual information necessary to understand the data methodologies assumptions and calculation tools used The entity may refer to guidance under essential indicators,The report follows guidance and cross references methodology notes and guidance and provides contextual information in the Databook,Infosys created the Sustainability Project platform with Economist Impact,0.82
PRINCIPLE 7 Businesses when engaging in influencing public and regulatory policy should do so in a manner that is responsible and transparent The listed shall disclose issues that are the focus of its participation in public policy development,The report discloses public policy engagement including WEF G20 Smart Cities Alliance and details areas of participation and positions where applicable,Infosys launched carbon neutral public events,0.92
The company shall provide details of affiliation with other similar business entities by forming coalitions and details of representing through trade chambers,The report lists partnerships affiliations and alliances including WEF Economist Impact G20 Smart Cities and industry coalitions,Infosys Pathfinders Online Institute courses,0.90
The company shall provide details of social marketing The entity shall indicate availability of information on public policy positions in public domain and provide links where available,The report provides links to external engagements and public domain statements and references sessions and collaborations at Davos and policy roundtables,Infosys created the Value Chain Navigator tool,0.84
Select appropriate frequency of Board review such as Quarterly Half yearly Annually The report should provide frequency of Board review,The governance section states that the ESG Committee meets every quarter and Board review frequencies for committees are indicated,Infosys released ESG Radar research,0.91
Also provide the link of the document containing details of such public policy position advocated in public domain if available,The report cross references the Integrated Annual Report and external communications and provides links to relevant platforms and partner publications,Infosys implemented OCR based procurement proof testing,0.85
The company shall provide Rehabilitation MSME definitions and guidance where CSR projects undertaken in aspirational districts should be disclosed,The report details Foundation CSR activities and programs and provides examples of community projects and beneficiary counts and links,Infosys developed Topaz AI offering,0.72
Details of benefits derived and shared from intellectual properties based on traditional knowledge Provide brief information and indicate benefit sharing where applicable,Infosys governance notes intellectual property protection and restrictions and indicates collaboration partnerships while noting IP rights and restrictions,Infosys Game based VCN tool for emissions modelling,0.68
Details of beneficiaries of CSR Projects For each CSR project enter beneficiaries and provide links where available,The report provides beneficiaries numbers donation programs and Foundation activities and links to Foundation reports and microsite,Infosys hosts GovHack events,0.75
Companies Act definitions for CEO CFO Manager and turnover definitions The report should reference statutory definitions where relevant,The governance disclosures reference Companies Act definitions Board and KMP definitions and statutory references in Integrated Annual Report,Infosys published climate leadership achievements,0.86
Entities should disclose standards methodologies assumptions and calculation tools used and any contextual information to understand compiled data,The report and databook include methodologies and notes,Infosys offers Metaverse Foundry digital services,0.88
Field Name Instruction Guidance specific commitments goals and targets set by the entity along with performance The entity may disclose baseline context entities covered expected result,The report provides ESG Vision 2030 commitments baselines and progress and identifies entities covered and expected outcomes,Infosys Pathfinders Online Institute content catalogue,0.86
The entity shall state the performance achieved against each goal or target and list changes partial achievement or delay with reasons,The report sets out performance against goals including carbon neutrality achievements and progress on reskilling targets and explains variances,Infosys MatchBeats tennis tech engagement,0.88
The listed entity shall include a statement from the director responsible for preparation highlighting the relevance of sustainability to the organization The statement can include vision priorities and outlook,The report includes director and executive statements covering these items placed in introductory sections,Infosys launched EPIC privacy by design program,0.90
For the policies disclosed at Question 1 of Section B the entity shall disclose the highest executive authority who is responsible for their implementation and oversight and provide name designation and category,The governance section discloses the ESG Committee Board reporting executive sponsors and where applicable names designations and roles,Infosys created Connected Ops on Cloud for industrial clients,0.91
In case different authorities are responsible for implementation of different policies the same may be indicated The entity shall disclose this mapping,The report indicates which committees or executives oversee specific ESG priorities and where responsibilities differ cross references are provided,Infosys launched several client solutions like Smart spaces,0.88
The entity shall indicate Yes if it has a specified Committee of the Board or director responsible for decision making on sustainability related issues and provide details The company may cross refer to question 8,The report states Yes the Board instituted an ESG Committee on April 14 2021 describes its objectives and interaction with other committees,Infosys developed the Sustainability Project with Economist Impact,0.94
The entity shall disclose whether there are processes to ensure conflict of interests involving members of the Board KMPs are avoided or managed along with details of such processes,The report refers to the Code of Conduct conflict of interest policies training and compliance monitoring including annual compliance programs and ABAC controls,Infosys Pathfinders Online Institute training modules,0.88
The company shall calculate percentage of those in their value chains for Leadership Indicators and Essential Indicators and disclose where applicable,Infosys reports supplier ESG assessment completion counts and supplier learning and procurement controls,Infosys produced ESG Radar research,0.80
The listed entity shall specify channels through which stakeholders can access relevant information and whether such information is available in regional local languages,The report details communication channels contact points and interactive PDF navigation and microsites,The Information management section discusses privacy frameworks and councils,0.86
If the entity discloses key concerns raised through stakeholder engagement it should explain how organization responded,The report provides examples of stakeholder feedback and corrective actions and program adjustments,The report details data privacy incident handling and no substantiated complaints for fiscal 2023,0.84
The listed shall disclose issues focus of its participation in public policy development and provide details of affiliations coalitions trade chambers and availability of information in public domain,The report enumerates policy engagements and affiliations and provides links to partner outputs like WEF sessions and G20 taskforce involvement,Infosys offers carbon neutrality leadership case studies,0.92
The entity shall provide frequency of Board review and link to document containing public policy positions,The governance section provides committee meeting frequency and cross references to external links and Integrated Annual Report,Infosys published the ESG Databook,0.90
Entities should disclose standards methodologies assumptions calculation tools and emission factors used and provide contextual information,The ESG Databook includes methodology emissions factors and assumptions while the report cross references standards used,Infosys offers sustainable procurement solutions to clients,0.89
The company shall disclose specific commitments goals targets baseline context entities covered expected timelines and whether mandatory or voluntary,The report provides these for ESG Vision 2030 and other governance commitments,Infosys launched the EPIC privacy by design enablement,0.87
The entity shall disclose the highest authority responsible oversight and in case of director provide DIN designation and category,The report provides Board listings designations and references to Integrated Annual Report,Infosys formed partnerships like with Economist Impact,0.93
The listed entity shall disclose if it has a specified Committee of the Board responsible for sustainability decision making and provide details The company may cross refer to question 8,The report confirms the establishment of the ESG Committee and provides details of its composition and reporting,Infosys created Value Chain Navigator,0.91
The entity shall disclose processes to avoid manage conflicts of interest and provide details,The report references Code of Conduct complaint handling training and compliance proof testing including OCR and rule engine,Infosys hosts GovHack to advance digital skills,0.89
The entity shall indicate whether certain disclosures are not applicable and provide reasons,The report notes applicability for service industry items and indicates not applicable where relevant,Infosys Pathfinders Online Institute supporting teachers,0.70
The entity shall disclose reporting boundary stand alone or consolidated and ensure consistency,The report clarifies reporting boundary references consolidated coverage and cross references integrated reports,Infosys published awards and recognitions listings,0.80
The listed entity shall disclose specific commitments goals and targets baseline entities covered expected timeframe and performance,The report details ESG Vision 2030 commitments baselines metrics and progress reporting,Infosys offers secure development lifecycle training,0.86
The company shall indicate if goals are mandatory or voluntary and list relevant legislation if mandatory,The report differentiates voluntary commitments from legally mandated requirements and references statutory obligations where applicable,Infosys developed procurement proof testing OCR tool,0.78
The entity shall disclose standards methodologies assumptions calculation tools and emission factors used and provide contextual information,The ESG Databook includes emission calculations methodologies and assumptions and baselines,Infosys created Sustainability Project platform with Economist Impact,0.88
The listed entity shall include statement by director responsible summarizing sustainability relevance priorities and outlook,The report includes director and CFO messages and strategic commentary,Infosys MatchBeats tennis fan engagement,0.90
The entity shall disclose highest authority responsible for Business Responsibility policy implementation and oversight with names designations and categories,The report lists Board committees executive sponsors and governance roles,Infosys Pathfinders Online Institute course launches,0.92
The company shall disclose whether it has a specified Board committee for sustainability decision making yes or no and details,The report confirms the ESG Committee existence and interactions with other Board committees,Infosys created Value Chain Navigator as a client tool,0.93
The entity shall disclose processes to avoid manage conflicts of interest involving Board KMPs,The report cites Code of Conduct training compliance and monitoring controls and ABAC programs,Infosys hosts GovHack for skills development,0.88
The company shall specify channels for stakeholders to access information and whether available in local languages,The report provides contacts links interactive PDF and multilingual outreach where applicable,Infosys released EPIC privacy training modules,0.85
The entity shall disclose public policy positions details coalitions affiliations and links,The report enumerates policy engagements and affiliations and provides links to partner outputs and session descriptions,Infosys launched Metaverse Foundry platform,0.91
The company shall disclose CSR project beneficiaries and links to Foundation report,The report links to Infosys Foundation reports and provides beneficiary counts and project descriptions,Infosys developed Topaz AI product,0.76
The entity shall disclose leadership indicators supplier coverage and essential indicators,The report provides supplier ESG assessment numbers and supplier training portals and procurement controls,Infosys produced ESG Radar research outputs,0.81
The entity shall disclose standards methodologies and calculation tools used and provide context for data compilation,The report and databook provide these methodology notes and references,Infosys MatchBeats fan engagement,0.88
The company shall disclose details of public policy positions selection of frequency of Board review and link to documents,The report specifies committee review frequency and links to documents and partner outputs,Infosys EPIC privacy by design rollout,0.89
The entity shall disclose whether the reporting is consolidated or stand alone and ensure consistency,The report clarifies reporting boundary and consolidates relevant subsidiaries into disclosures,Infosys hosted the Australian Open tech engagement,0.78
The company should endeavour to provide clear complete and concise responses and web links where available,The report provides concise narrative cross references links and data within the ESG Databook,Infosys offers cloud solutions for clients,0.80
The information sought on complaints shall include a remarks column to explain pending complaints and nature of complaints,The report describes grievance mechanisms reporting and handling and where relevant provides explanations and timebound closures,Infosys Pathfinders Online Institute content updates,0.86
The term Principles refers to Principles 1 to 9 under NGRBCs The guidance references these principles for responses,The report aligns disclosures with recognised principles and guidance frameworks,Infosys developed VCN scope 3 levers,0.76
Note This guidance note was prepared using references from NGRBCs GRI standards and various laws The entity should follow guidance provided,The report cites frameworks GRI SASB and references to legal compliance and standards,Infosys released sustainability awards recognitions,0.72
SECTION A GENERAL DISCLOSURES The report should follow the referenced statutory definitions and provide requisite information,The report cross references statutory definitions Companies Act and provides Board and KMP definitions,Infosys Pathfinders Online Institute teacher enablement,0.85
Who is subject to military acts and related specific legal references The BRSR includes statutory references where applicable,The report clarifies legal applicability and jurisdiction specific legal references where required,Infosys MatchBeats tennis data visualization,0.30
Ref Companies Act definitions of Board KMP subsidiary holding company and group definitions The BRSR requires statutory definitions for clarity,The governance disclosure references Companies Act definitions and provides company structure where needed,Infosys produced ESG Radar survey results,0.88
Grievance Redressal Mechanism definition and requirements The mechanism should be transparent accessible and based on dialogue,The report describes resolution hubs and stakeholder channels and grievance handling processes,Infosys launched EPIC privacy program,0.86
Specific commitments goals and targets set by entity with baseline context entities covered expected result The BRSR asks for goals targets and performance,The report provides ESG Vision 2030 targets baselines timelines and progress KPIs,Infosys developed the Sustainability Project platform,0.90
Statement by director responsible for the report should highlight sustainability relevance The BRSR requests director level statement,The report includes statements from senior leaders and CFO covering sustainability relevance and strategy,Infosys hosted GovHack events,0.91
Highest authority responsible for implementation and oversight the entity shall disclose names and designation,The report lists committee chairs Board members and executive sponsors with roles,Infosys created Topaz AI offering,0.92
Does the entity have a specified Board committee for sustainability decision making The BRSR asks yes no and details,The report confirms establishment of ESG Committee its charter objectives and quarterly meeting frequency,Infosys produced IKI thought leadership outputs,0.95
Processes to avoid manage conflicts of interest The BRSR requires disclosure of processes,The report cites Codes policies training and compliance programs ABAC and OCR enabled proof testing to manage conflicts and compliance,Infosys Pathfinders Online Institute course count,0.89
Channels for stakeholders to access information and language availability The BRSR asks for channels and language details,The report details interactive PDF navigation contact points microsites databook and stakeholder engagement channels,Infosys created Value Chain Navigator game,0.86
Details of public policy positions advocated affiliations coalitions and links The BRSR expects transparent disclosure,The report details WEF G20 Smart Cities Alliance Economist Impact partnerships and public policy participation and links,Infosys MatchBeats tennis fan engagement,0.92
Frequency of Board review The entity shall select quarterly half yearly or annual review frequency,The report indicates ESG Committee meets quarterly and committee review cycles,Infosys EPIC privacy enablement detail,0.89
Provide link to document containing public policy position if available The BRSR asks to cite public domain links,The report cross references Integrated Annual Report partner platforms and external session outputs with links where available,Infosys launched carbon neutral Davos presence,0.88
CSR projects in aspirational districts and beneficiary details The BRSR requires disclosure of CSR projects and beneficiaries,The report and Foundation section provide CSR projects beneficiary counts and Foundation report links,Infosys produced ESG Radar research,0.76
Details of benefits derived and shared from IP based on traditional knowledge The BRSR asks for benefit sharing details,The report describes IP handling partnerships and indicates IP rights and benefit sharing approaches where applicable,Infosys developed Metaverse Foundry products,0.68
Channels through which stakeholders can access relevant information and regional language availability The BRSR requires this,The report describes stakeholder channels interactive PDF links public microsites and contact points and multilingual outreach where applicable,Infosys Pathfinders Online Institute teacher modules,0.86
Standards methodologies assumptions calculation tools and emission factors used The BRSR requires methodological disclosure,The ESG Databook contains methodology emission factors assumptions and calculation details,Infosys offers Topaz AI services,0.88
Leadership Indicators calculation and disclosure for value chain The BRSR requires supplier coverage and leadership indicators,The report provides supplier ESG assessment counts completed for top suppliers and supplier learning portals,Infosys won DSCI Excellence Awards,0.80
Details of public policy positions affiliation with coalitions representation through trade chambers and frequency of Board review The BRSR requests transparency,The report lists affiliations WEF G20 Economist Impact and provides details of participation and meeting frequencies,Infosys developed Value Chain Navigator tool,0.91
Information on complaint handling remarks pending complaints and nature of complaints The BRSR requires transparent comments,The report explains grievance mechanism resolution hubs and remarks for pending complaints and timebound closures,Infosys launched EPIC privacy program,0.86

